Analysis of Smallest Prime Factors of Failed Tests,Value
Total tests performed,7000000
Total successful prime generations,946543

Smallest Prime Factors Causing Failure,Count,Percentage of Failures
3677,257,0.00%
3691,260,0.00%
3697,253,0.00%
3701,224,0.00%
3709,236,0.00%
3719,242,0.00%
3727,250,0.00%
3733,258,0.00%
3739,242,0.00%
3761,252,0.00%
3767,240,0.00%
3769,224,0.00%
3779,229,0.00%
3793,251,0.00%
3797,238,0.00%
3803,262,0.00%
3821,236,0.00%
3823,243,0.00%
3833,225,0.00%
3847,223,0.00%
3851,206,0.00%
3853,243,0.00%
3863,211,0.00%
3877,209,0.00%
3881,214,0.00%
3889,206,0.00%
3907,211,0.00%
3911,232,0.00%
3917,223,0.00%
3919,201,0.00%
3923,202,0.00%
3929,195,0.00%
3931,211,0.00%
3943,211,0.00%
3947,197,0.00%
3967,223,0.00%
3989,197,0.00%
4001,195,0.00%
4003,201,0.00%
4007,198,0.00%
4013,194,0.00%
4019,189,0.00%
4021,204,0.00%
4027,209,0.00%
4049,199,0.00%
4051,197,0.00%
4057,191,0.00%
4073,207,0.00%
4079,163,0.00%
4091,184,0.00%
4093,183,0.00%
4099,175,0.00%
4111,176,0.00%
4127,176,0.00%
4129,161,0.00%
4133,183,0.00%
4139,190,0.00%
4153,180,0.00%
4157,185,0.00%
4159,170,0.00%
4177,163,0.00%
4201,165,0.00%
4211,162,0.00%
4217,170,0.00%
4219,172,0.00%
4229,139,0.00%
4231,174,0.00%
4241,159,0.00%
4243,173,0.00%
4253,160,0.00%
4259,165,0.00%
4261,158,0.00%
4271,165,0.00%
4273,144,0.00%
4283,152,0.00%
4289,161,0.00%
4297,167,0.00%
4327,150,0.00%
4337,147,0.00%
4339,168,0.00%
4349,131,0.00%
4357,151,0.00%
4363,140,0.00%
4373,120,0.00%
4391,133,0.00%
4397,140,0.00%
4409,146,0.00%
4421,139,0.00%
4423,137,0.00%
4441,133,0.00%
4447,124,0.00%
4451,140,0.00%
4457,137,0.00%
4463,149,0.00%
4481,129,0.00%
4483,143,0.00%
4493,152,0.00%
4507,128,0.00%
4513,122,0.00%
4517,136,0.00%
4519,122,0.00%
4523,128,0.00%
4547,124,0.00%
4549,117,0.00%
4561,106,0.00%
4567,122,0.00%
4583,103,0.00%
4591,120,0.00%
4597,132,0.00%
4603,106,0.00%
4621,98,0.00%
4637,119,0.00%
4639,117,0.00%
4643,117,0.00%
4649,114,0.00%
4651,111,0.00%
4657,104,0.00%
4663,102,0.00%
4673,99,0.00%
4679,98,0.00%
4691,100,0.00%
4703,112,0.00%
4721,93,0.00%
4723,84,0.00%
4729,100,0.00%
4733,83,0.00%
4751,94,0.00%
4759,83,0.00%
4783,89,0.00%
4787,83,0.00%
4789,94,0.00%
4793,79,0.00%
4799,91,0.00%
4801,89,0.00%
4813,77,0.00%
4817,81,0.00%
4831,86,0.00%
4861,83,0.00%
4871,89,0.00%
4877,86,0.00%
4889,68,0.00%
4903,78,0.00%
4909,79,0.00%
4919,69,0.00%
4931,74,0.00%
4933,63,0.00%
4937,64,0.00%
4943,74,0.00%
4951,70,0.00%
4957,66,0.00%
4967,70,0.00%
4969,74,0.00%
4973,63,0.00%
4987,53,0.00%
4993,66,0.00%
4999,49,0.00%
5003,70,0.00%
5009,69,0.00%
5011,63,0.00%
5021,68,0.00%
5023,65,0.00%
5039,63,0.00%
5051,55,0.00%
5059,49,0.00%
5077,57,0.00%
5081,67,0.00%
5087,42,0.00%
5099,51,0.00%
5101,52,0.00%
5107,43,0.00%
5113,57,0.00%
5119,63,0.00%
5147,56,0.00%
5153,45,0.00%
5167,42,0.00%
5171,38,0.00%
5179,43,0.00%
5189,54,0.00%
5197,43,0.00%
5209,42,0.00%
5227,38,0.00%
5231,40,0.00%
5233,33,0.00%
5237,35,0.00%
5261,34,0.00%
5273,38,0.00%
5279,38,0.00%
5281,36,0.00%
5297,29,0.00%
5303,33,0.00%
5309,26,0.00%
5323,18,0.00%
5333,27,0.00%
5347,28,0.00%
5351,29,0.00%
5381,29,0.00%
5387,30,0.00%
5393,31,0.00%
5399,28,0.00%
5407,15,0.00%
5413,17,0.00%
5417,19,0.00%
5419,14,0.00%
5431,19,0.00%
5437,20,0.00%
5441,10,0.00%
5443,17,0.00%
5449,11,0.00%
5471,10,0.00%
5477,7,0.00%
5479,5,0.00%
5483,8,0.00%
5501,8,0.00%
5503,3,0.00%
5507,7,0.00%
5519,4,0.00%
5521,2,0.00%
5527,2,0.00%
5531,4,0.00%
5557,1,0.00%
5563,1,0.00%
